Id Marker X Y
0 1 0.0000000000000000e+00 0.0000000000000000e+00
1 2 1.0000000000000000e+00 0.0000000000000000e+00
2 3 1.0000000000000000e+00 1.0000000000000000e+00
3 4 0.0000000000000000e+00 1.0000000000000000e+00
4 0 5.0000000000000000e-01 5.0000000000000000e-01
5 8 0.0000000000000000e+00 5.0000000000000000e-01
6 5 5.0000000000000000e-01 0.0000000000000000e+00
7 6 1.0000000000000000e+00 5.0000000000000000e-01
8 7 5.0000000000000000e-01 1.0000000000000000e+00
9 0 7.5000000000000000e-01 2.5000000000000000e-01
10 0 2.5000000000000000e-01 7.5000000000000000e-01
11 0 7.5000000000000000e-01 7.5000000000000000e-01
12 0 5.0000000000000000e-01 2.5000000000000000e-01
13 5 7.5000000000000000e-01 0.0000000000000000e+00
14 6 1.0000000000000000e+00 2.5000000000000000e-01
15 0 8.7500000000000000e-01 3.7500000000000000e-01
16 0 8.7500000000000000e-01 1.2500000000000000e-01
17 0 8.7500000000000000e-01 2.5000000000000000e-01
18 6 1.0000000000000000e+00 3.7500000000000000e-01
19 0 8.1250000000000000e-01 5.6250000000000000e-01
20 0 7.5000000000000000e-01 1.2500000000000000e-01
21 0 6.2500000000000000e-01 1.8750000000000000e-01
22 0 5.1562500000000000e-01 1.2500000000000000e-01
23 5 2.5000000000000000e-01 0.0000000000000000e+00
24 5 6.2500000000000000e-01 0.0000000000000000e+00
25 5 3.7500000000000000e-01 0.0000000000000000e+00
26 0 6.5625000000000000e-01 9.3750000000000000e-02
27 0 3.1250000000000000e-01 1.8750000000000000e-01
28 0 3.1250000000000000e-01 8.3333333333333329e-02
29 0 4.0765224358974361e-01 1.3541666666666669e-01
30 8 0.0000000000000000e+00 2.5000000000000000e-01
31 0 1.5625000000000000e-01 1.3541666666666666e-01
32 0 1.7838541666666669e-01 3.2942708333333331e-01
33 5 1.2500000000000000e-01 0.0000000000000000e+00
34 0 2.1243640988372092e-01 2.2727410368217052e-01
35 0 1.0732561090650046e-01 2.4898882605152084e-01
36 5 8.7500000000000000e-01 0.0000000000000000e+00
37 6 1.0000000000000000e+00 1.2500000000000000e-01
38 0 8.9062500000000000e-01 4.8437500000000000e-01
39 6 1.0000000000000000e+00 7.5000000000000000e-01
40 0 6.4062500000000000e-01 6.0937500000000000e-01
41 0 7.0312500000000000e-01 4.2187500000000000e-01
42 0 6.1383928571428570e-01 3.2142857142857140e-01
43 0 7.0521156832298137e-01 3.3011451863354035e-01
44 0 5.9047287306642404e-01 4.3210446997270241e-01
45 0 6.5431605040539143e-01 5.0977201680179718e-01
46 0 4.7690612331292126e-01 3.7500000000000000e-01
47 0 3.0958071190870190e-01 4.7054684790242207e-01
48 0 3.8158154060913968e-01 2.9275537817258102e-01
49 0 4.0993598636814743e-01 4.5200610923630707e-01
50 0 3.8628975306856161e-01 6.0488274858650282e-01
51 0 5.1308402026862776e-01 6.2826697394033570e-01
52 0 5.9717642032435814e-01 7.5601556196994368e-01
53 0 4.2069841183882972e-01 7.7375656677949090e-01
54 0 4.3755057770031924e-01 6.8238052208227773e-01
55 0 2.3688673219252374e-01 6.0112617179819117e-01
56 0 6.7143319641794930e-01 6.9826029167492831e-01
57 7 7.5000000000000000e-01 1.0000000000000000e+00
58 7 2.5000000000000000e-01 1.0000000000000000e+00
59 0 3.0991104429350352e-01 6.6970840697218537e-01
60 8 0.0000000000000000e+00 7.5000000000000000e-01
61 0 1.6354210246515746e-01 4.7477079032226888e-01
62 0 2.3470886295344176e-01 4.0860894416138882e-01
63 8 0.0000000000000000e+00 6.2500000000000000e-01
64 8 0.0000000000000000e+00 3.7500000000000000e-01
65 0 9.3358783607142060e-02 5.6250000000000000e-01
66 0 1.0008796871013832e-01 3.9486070371301762e-01
67 0 1.3737854967673768e-01 6.8490560338158168e-01
68 0 6.7839016385867934e-01 8.7500000000000000e-01
69 7 6.2500000000000000e-01 1.0000000000000000e+00
70 0 5.4709011609829450e-01 8.7741110596908611e-01
71 7 3.7500000000000000e-01 1.0000000000000000e+00
72 0 5.1163838872690914e-01 7.9175389280586739e-01
73 0 3.2013719031841231e-01 8.7118140484079387e-01
74 0 4.3325588570776474e-01 8.8733000764046754e-01
75 8 0.0000000000000000e+00 1.2500000000000000e-01
76 0 8.1380208333333329e-02 8.1380208333333329e-02
77 6 1.0000000000000000e+00 6.2500000000000000e-01
78 0 8.7500000000000000e-01 6.8750000000000000e-01
79 0 8.7500000000000000e-01 8.7500000000000000e-01
80 0 8.4375000000000000e-01 7.8125000000000000e-01
81 0 7.7669508192933967e-01 9.0169508192933967e-01
82 6 1.0000000000000000e+00 8.7500000000000000e-01
83 7 8.7500000000000000e-01 1.0000000000000000e+00
84 0 1.2500000000000000e-01 8.7500000000000000e-01
85 0 2.2205919044002964e-01 8.4705919044002964e-01
86 0 9.7256809508744324e-02 7.7774319049125573e-01
87 7 1.2500000000000000e-01 1.0000000000000000e+00
88 8 0.0000000000000000e+00 8.7500000000000000e-01
