Id Marker Origin End
0 0 41 43
1 0 43 15
2 0 15 41
3 0 23 28
4 0 28 31
5 0 31 23
6 0 4 51
7 0 51 50
8 0 50 4
9 0 47 55
10 0 55 61
11 0 61 47
12 0 6 22
13 0 22 29
14 0 29 6
15 0 26 22
16 0 22 24
17 0 24 26
18 0 38 41
19 0 15 38
20 0 51 54
21 0 54 50
22 0 14 15
23 0 15 17
24 0 17 14
25 0 13 16
26 0 16 20
27 0 20 13
28 0 65 5
29 0 5 61
30 0 61 65
31 0 85 10
32 0 10 73
33 0 73 85
34 0 69 70
35 0 70 68
36 0 68 69
37 0 80 11
38 0 11 78
39 0 78 80
40 8 64 30
41 0 30 35
42 0 35 64
43 0 12 21
44 0 21 42
45 0 42 12
46 0 26 20
47 0 20 21
48 0 21 26
49 0 17 16
50 0 16 14
51 0 15 18
52 0 18 38
53 0 7 38
54 6 18 7
55 6 37 14
56 0 16 37
57 5 36 1
58 0 1 16
59 0 16 36
60 0 9 16
61 0 17 9
62 0 15 9
63 6 14 18
64 0 56 19
65 0 19 11
66 0 11 56
67 0 78 77
68 6 77 39
69 0 39 78
70 0 20 9
71 0 9 21
72 0 12 22
73 0 22 21
74 0 21 43
75 0 43 42
76 5 23 25
77 0 25 28
78 0 26 13
79 0 25 29
80 0 29 28
81 5 6 24
82 0 12 48
83 0 48 29
84 0 29 12
85 5 24 13
86 0 42 46
87 0 46 12
88 0 31 33
89 5 33 23
90 5 25 6
91 0 28 27
92 0 27 31
93 0 29 27
94 0 34 31
95 0 27 34
96 0 34 35
97 0 35 31
98 0 76 0
99 5 0 33
100 0 33 76
101 0 46 48
102 0 32 34
103 0 34 48
104 0 48 32
105 0 27 48
106 0 31 76
107 0 32 35
108 0 32 66
109 0 66 35
110 8 30 75
111 0 75 35
112 5 13 36
113 6 1 37
114 0 77 38
115 6 7 77
116 0 38 19
117 0 19 41
118 0 40 52
119 0 52 51
120 0 51 40
121 0 78 19
122 0 19 77
123 0 44 46
124 0 42 44
125 0 40 45
126 0 45 19
127 0 19 40
128 0 45 4
129 0 4 44
130 0 44 45
131 0 9 43
132 0 42 41
133 0 41 44
134 0 41 45
135 0 4 46
136 0 40 4
137 0 49 46
138 0 4 49
139 0 50 47
140 0 47 49
141 0 49 50
142 0 50 55
143 0 49 48
144 0 48 47
145 0 47 62
146 0 62 48
147 0 50 59
148 0 59 55
149 0 40 56
150 0 56 52
151 0 51 72
152 0 72 54
153 0 68 52
154 0 52 11
155 0 11 68
156 0 54 53
157 0 53 59
158 0 59 54
159 0 70 52
160 0 84 85
161 0 85 58
162 0 58 84
163 0 52 72
164 0 53 10
165 0 10 59
166 0 67 63
167 0 63 65
168 0 65 67
169 0 61 66
170 0 66 62
171 0 62 61
172 0 81 57
173 0 57 68
174 0 68 81
175 0 53 73
176 0 10 55
177 8 63 5
178 0 86 60
179 0 60 67
180 0 67 86
181 0 66 5
182 8 5 64
183 0 64 66
184 0 62 32
185 0 55 65
186 0 55 67
187 0 10 67
188 0 85 86
189 0 86 10
190 8 60 63
191 0 80 81
192 0 81 11
193 7 69 8
194 0 8 70
195 0 74 8
196 7 8 71
197 0 71 74
198 7 57 69
199 0 72 70
200 0 70 74
201 0 74 72
202 0 72 53
203 0 53 74
204 0 74 73
205 0 58 73
206 0 73 71
207 7 71 58
208 0 35 76
209 0 75 76
210 8 75 0
211 0 80 39
212 0 39 79
213 0 79 80
214 0 81 83
215 7 83 57
216 6 82 2
217 0 2 79
218 0 79 82
219 0 79 81
220 0 79 83
221 6 39 82
222 7 2 83
223 0 86 88
224 8 88 60
225 7 87 3
226 0 3 84
227 0 84 87
228 0 84 86
229 0 84 88
230 7 58 87
231 8 3 88
